"","State.Name","City.Name","County.Name","Latitude","Longitude","Parameter.Name","Units.of.Measure","Metric.Used","Sample.Duration","Arithmetic.Mean"
"1","Connecticut","Bridgeport","Fairfield",41.170833,-73.194722,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.651667
"2","Connecticut","Bridgeport","Fairfield",41.170833,-73.194722,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.651667
"3","Connecticut","Danbury","Fairfield",41.399167,-73.443056,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.84918
"4","Connecticut","Danbury","Fairfield",41.399167,-73.443056,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.84918
"5","Connecticut","Westport","Fairfield",41.118333,-73.336667,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.711475
"6","Connecticut","Westport","Fairfield",41.118333,-73.336667,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.711475
"7","Connecticut","East Hartford","Hartford",41.784722,-72.631667,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.66482
"8","Connecticut","East Hartford","Hartford",41.784722,-72.631667,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.66482
"9","Connecticut","East Hartford","Hartford",41.7425,-72.634444,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.065289
"10","Connecticut","East Hartford","Hartford",41.7425,-72.634444,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.065289
"11","Connecticut","Cornwall","Litchfield",41.821342,-73.297257,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",5.197458
"12","Connecticut","Cornwall","Litchfield",41.821342,-73.297257,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",5.197458
"13","Connecticut","New Haven","New Haven",41.3014,-72.902871,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.773429
