"","State.Name","City.Name","County.Name","Latitude","Longitude","Parameter.Name","Units.of.Measure","Metric.Used","Sample.Duration","Arithmetic.Mean"
"1","Connecticut","Bridgeport","Fairfield",41.170833,-73.194722,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)","Daily Mean","24 HOUR",15.79661
"2","Connecticut","Bridgeport","Fairfield",41.170833,-73.194722,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.651667
"3","Connecticut","Bridgeport","Fairfield",41.170833,-73.194722,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.651667
"4","Connecticut","Greenwich (Town of)","Fairfield",41.004657,-73.585128,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.048696
"5","Connecticut","Danbury","Fairfield",41.399167,-73.443056,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.045965
"6","Connecticut","Danbury","Fairfield",41.399167,-73.443056,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.84918
"7","Connecticut","Danbury","Fairfield",41.399167,-73.443056,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.84918
"8","Connecticut","Stratford (Town of)","Fairfield",41.1525,-73.103056,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.051023
"9","Connecticut","Westport","Fairfield",41.118333,-73.336667,"Nitrogen dioxide (NO2)","Parts per billion","Observed values","1 HOUR",9.183054
"10","Connecticut","Westport","Fairfield",41.118333,-73.336667,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.050011
"11","Connecticut","Westport","Fairfield",41.118333,-73.336667,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.711475
"12","Connecticut","Westport","Fairfield",41.118333,-73.336667,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.711475
"13","Connecticut","Hartford","Hartford",41.771444,-72.679923,"Nitrogen dioxide (NO2)","Parts per billion","Observed values","1 HOUR",15.683064
"14","Connecticut","East Hartford","Hartford",41.784722,-72.631667,"Nitrogen dioxide (NO2)","Parts per billion","Observed values","1 HOUR",8.218843
"15","Connecticut","East Hartford","Hartford",41.784722,-72.631667,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043655
"16","Connecticut","East Hartford","Hartford",41.784722,-72.631667,"PM10 Total 0-10um STP","Micrograms/cubic meter (25 C)","Daily Mean","24 HOUR",11.672727
"17","Connecticut","East Hartford","Hartford",41.784722,-72.631667,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.66482
"18","Connecticut","East Hartford","Hartford",41.784722,-72.631667,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",7.66482
"19","Connecticut","East Hartford","Hartford",41.7425,-72.634444,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.065289
"20","Connecticut","East Hartford","Hartford",41.7425,-72.634444,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)","Daily Mean","24 HOUR",8.065289
"21","Connecticut","Cornwall","Litchfield",41.821342,-73.297257,"Nitrogen dioxide (NO2)","Parts per billion","Observed values","1 HOUR",1.606347
